11 9064 37485
0 101 0.220883 0.0157396
1 101 0.334444 0.010389
0 102 0.0837527 0.0168097
1 102 0.206955 0.0264408
0 103 0.0901806 0.0178799
1 103 0.213383 0.0264408
0 104 0.0773247 0.01895
1 104 0.199456 0.0296512
0 105 0.0687541 0.0200201
1 105 0.189386 0.0311494
0 106 0.12982 0.0200201
1 106 0.254951 0.0234445
0 107 0.118035 0.0210902
1 107 0.242309 0.0253707
0 108 0.0591121 0.0221603
1 108 0.177815 0.0350018
0 109 0.0762534 0.0221603
1 109 0.195814 0.0324335
0 110 0.0794673 0.0221603
1 110 0.201599 0.0328616
0 111 0.0869666 0.0221603
1 111 0.210169 0.0307213
0 112 0.134105 0.0221603
1 112 0.259451 0.0243006
0 113 0.144818 0.0221603
1 113 0.262665 0.0243006
0 114 0.148032 0.0221603
1 114 0.268021 0.0243006
0 115 0.140533 0.0232305
1 115 0.265879 0.0253707
0 116 0.114821 0.0253707
1 116 0.240167 0.0296512
0 117 0.124463 0.0253707
1 117 0.248737 0.0285811
0 118 0.131962 0.0253707
1 118 0.257522 0.0272969
0 119 0.169459 0.0253707
1 119 0.29159 0.0243006
0 120 0.210169 0.0253707
1 120 0.325873 0.01895
0 121 0.0730394 0.0264408
1 121 0.195171 0.037142
0 122 0.0794673 0.0264408
1 122 0.201599 0.0360719
0 123 0.0858953 0.0275109
1 123 0.209955 0.0350018
0 124 0.167316 0.0275109
1 124 0.287305 0.0264408
0 125 0.0923233 0.0285811
1 125 0.215526 0.037142
0 126 0.15446 0.0285811
1 126 0.278734 0.0285811
0 127 0.206955 0.0285811
1 127 0.324802 0.0221603
0 128 0.0805387 0.0296512
1 128 0.20267 0.0382122
0 129 0.084824 0.0296512
1 129 0.208027 0.0382122
0 130 0.144818 0.0296512
1 130 0.271235 0.0307213
0 131 0.195171 0.0296512
1 131 0.31516 0.0253707
0 132 0.0548268 0.0307213
1 132 0.171602 0.0435628
0 133 0.120178 0.0307213
1 133 0.247666 0.0350018
0 134 0.0826813 0.0317914
1 134 0.205884 0.0414225
0 135 0.0569694 0.0328616
1 135 0.175244 0.045275
0 136 0.084824 0.0328616
1 136 0.208027 0.0414225
0 137 0.112679 0.0328616
1 137 -0.0895883 0.117187
0 138 0.128748 0.0328616
1 138 0.253665 0.0350018
0 139 0.156603 0.0328616
1 139 0.280877 0.0328616
0 140 0.212312 0.0328616
1 140 0.329087 0.0264408
0 141 0.0548268 0.0339317
1 141 0.171387 0.0465591
0 142 0.0676827 0.0339317
1 142 0.187672 0.0467731
0 143 0.0794673 0.0339317
1 143 0.202242 0.0427067
0 144 0.0741107 0.0350018
1 144 0.197313 0.045703
0 145 0.140533 0.0350018
1 145 0.265879 0.0360719
0 146 0.150175 0.0350018
1 146 0.27552 0.0350018
0 147 0.167316 0.0350018
1 147 0.290519 0.0328616
0 144 0.0762534 0.0360719
0 148 0.121249 0.0360719
1 148 0.246595 0.0392823
0 149 0.169459 0.0360719
1 149 0.292662 0.0339317
